"Rk","Pos","Name","Age","G","PA","AB","R","H","X2B","X3B","HR","RBI","SB","CS","BB","SO","BA","OBP","SLG","OPS","OPS.","TB","GDP","HBP","SH","SF","IBB","wOBA","wRC"
1,"C","Yasmani Grandal#",30,153,632,513,79,126,26,2,28,77,5,1,109,139,0.246,0.38,0.468,0.848,119,240,16,5,0,5,2,0.360833333333333,134.669432315744
2,"1B","Eric Thames*",32,149,459,396,67,98,23,2,25,61,3,2,51,140,0.247,0.346,0.505,0.851,117,200,0,10,0,2,4,0.357646153846154,132.216109375792
3,"2B","Keston Hiura",22,84,348,314,51,95,23,2,19,49,9,3,25,107,0.303,0.368,0.57,0.938,138,179,6,8,0,1,1,0.386919308357349,154.74904226393
4,"SS","Orlando Arcia",24,152,546,494,51,110,16,1,15,59,8,5,43,109,0.223,0.283,0.35,0.633,64,173,15,1,2,6,5,0.272337662337662,66.5501247544887
5,"3B","Mike Moustakas*",30,143,584,523,80,133,30,1,35,87,3,0,53,98,0.254,0.329,0.516,0.845,114,270,12,6,0,2,5,0.351939550949914,127.82346696238
6,"LF","Ryan Braun",35,144,508,459,70,131,31,2,22,75,11,1,34,105,0.285,0.343,0.505,0.849,116,232,15,8,0,3,1,0.352439363817097,128.208196588583
7,"CF","Lorenzo Cain",33,148,623,562,75,146,30,0,11,48,18,8,50,106,0.26,0.325,0.372,0.697,81,209,14,6,0,4,0,0.298897106109325,86.9941860128776
8,"RF","Christian Yelich*",27,130,580,489,100,161,29,3,44,97,30,2,80,118,0.329,0.429,0.671,1.1,179,328,8,8,0,3,16,0.458230496453901,209.640639783374
9,"OF","Ben Gamel*",27,134,356,311,47,77,18,0,7,33,2,2,40,104,0.248,0.337,0.373,0.71,85,116,0,3,0,2,2,0.309161016949153,94.8948041042838
10,"3B","Travis Shaw*",29,86,270,230,22,36,5,0,7,16,0,0,36,89,0.157,0.281,0.27,0.551,45,62,5,4,0,0,3,0.253861423220974,52.3280887971982
11,"1B","Jesus Aguilar",29,94,262,222,26,50,9,0,8,34,0,0,31,59,0.225,0.32,0.374,0.694,80,83,11,2,0,4,0,0.29865250965251,86.8059085402881
12,"2B","Hernan Perez",28,91,246,232,29,53,11,0,8,18,5,1,11,66,0.228,0.262,0.379,0.642,64,88,9,0,2,1,0,0.268020491803279,63.2269942090358
